ALBUMS,SALES
AM (2013),"Sales: 2,710,431"
"WHATEVER PEOPLE SAY I AM, THAT`S WHAT I`M NOT (2006)","Sales: 2,601,500"
FAVOURITE WORST NIGHTMARE (2007),"Sales: 1,081,429"
HUMBUG (2009),"Sales: 300,000"
SUCK IT AND SEE (2011),"Sales: 300,000"
TRANQUILITY BASE HOTEL & CASINO (2018),"Sales: 100,000"
